City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
albany,US,42.6526,-73.7562,13.33,40,0,0.89,2021-03-10 19:00:11
qaanaaq,GL,77.484,-69.3632,-14.17,81,0,2.79,2021-03-10 19:00:12
busselton,AU,-33.65,115.3333,21.67,93,100,0.89,2021-03-10 19:00:12
sandata,RU,46.2708,41.7583,-2.32,83,100,3.77,2021-03-10 19:00:12
lovozero,RU,68.005,35.0117,-15.97,81,1,2.12,2021-03-10 19:00:13
narsaq,GL,60.9167,-46.05,-3.0,63,75,1.03,2021-03-10 19:00:14
ayagoz,KZ,47.9714,80.4392,1.79,86,100,6.28,2021-03-10 19:00:14
kapaa,US,22.0752,-159.319,23.0,94,90,4.63,2021-03-10 18:59:45
yellowknife,CA,62.456,-114.3525,-20.0,65,1,5.14,2021-03-10 19:00:05
zaysan,KZ,47.4667,84.8667,-1.48,84,99,0.54,2021-03-10 19:00:15
neuquen,AR,-38.9516,-68.0591,34.0,11,0,8.75,2021-03-10 19:00:15
buraydah,SA,26.326,43.975,23.0,31,0,6.69,2021-03-10 19:00:16
ponta do sol,PT,32.6667,-17.1,16.11,67,40,6.17,2021-03-10 19:00:17
bredasdorp,ZA,-34.5322,20.0403,18.0,100,100,1.54,2021-03-10 19:00:17
daru,PG,-9.0763,143.2092,25.74,86,100,2.4,2021-03-10 19:00:18
ribeira grande,PT,38.5167,-28.7,16.0,100,75,7.2,2021-03-10 19:00:18
thompson,CA,55.7435,-97.8558,-5.0,50,75,5.14,2021-03-10 19:00:19
las vegas,US,36.175,-115.1372,12.0,32,20,3.6,2021-03-10 19:00:06
ushuaia,AR,-54.8,-68.3,8.0,71,20,10.8,2021-03-10 19:00:19
barrow,US,71.2906,-156.7887,-15.0,72,90,8.75,2021-03-10 19:00:04
bhawana,PK,31.5692,72.649,21.65,26,100,4.72,2021-03-10 19:00:20
port-gentil,GA,-0.7193,8.7815,27.0,83,20,4.27,2021-03-10 19:00:20
chuy,UY,-33.6971,-53.4616,23.41,64,4,4.0,2021-03-10 19:00:21
avarua,CK,-21.2078,-159.775,27.0,83,40,2.57,2021-03-10 19:00:22
cherskiy,RU,68.75,161.3,-26.41,78,0,7.14,2021-03-10 19:00:22
luderitz,NA,-26.6481,15.1594,20.51,76,0,6.25,2021-03-10 19:00:23
coquimbo,CL,-29.9533,-71.3436,22.0,64,40,5.66,2021-03-10 19:00:23
dicabisagan,PH,17.0818,122.4157,23.37,85,73,2.57,2021-03-10 19:00:24
upernavik,GL,72.7868,-56.1549,-13.24,83,30,0.79,2021-03-10 19:00:24
puerto ayora,EC,-0.7393,-90.3518,28.89,84,34,2.24,2021-03-10 19:00:25
amahai,ID,-3.3333,128.9167,25.61,80,95,1.9,2021-03-10 19:00:25
atuona,PF,-9.8,-139.0333,26.6,73,65,7.56,2021-03-10 19:00:26
tacarigua,VE,10.0862,-67.9198,30.0,42,100,3.09,2021-03-10 19:00:26
rikitea,PF,-23.1203,-134.9692,26.41,72,75,8.08,2021-03-10 19:00:27
maldonado,UY,-34.9,-54.95,25.56,57,20,7.2,2021-03-10 19:00:28
brcko,BA,44.8728,18.8083,6.11,86,40,0.51,2021-03-10 19:00:28
bafata,GW,12.1667,-14.6667,34.08,13,0,1.9,2021-03-10 19:00:29
mackenzie,CA,55.2999,-123.1698,-8.0,45,1,2.57,2021-03-10 19:00:29
new norfolk,AU,-42.7826,147.0587,10.56,70,0,1.1,2021-03-10 19:00:30
chokurdakh,RU,70.6333,147.9167,-19.87,92,100,5.37,2021-03-10 19:00:30
sao joao da barra,BR,-21.6403,-41.0511,30.0,58,75,6.17,2021-03-10 19:00:31
wasilla,US,61.5814,-149.4394,1.0,60,90,3.09,2021-03-10 19:00:31
nanortalik,GL,60.1432,-45.2371,-2.11,92,83,6.81,2021-03-10 19:00:32
gobo,JP,33.8833,135.15,5.0,65,20,1.54,2021-03-10 19:00:32
jacqueville,CI,5.2052,-4.4146,28.0,89,20,4.63,2021-03-10 19:00:33
saint-philippe,RE,-21.3585,55.7679,26.0,78,0,3.6,2021-03-10 19:00:33
los llanos de aridane,ES,28.6585,-17.9182,18.0,63,40,7.72,2021-03-10 19:00:34
taoudenni,ML,22.6783,-3.9836,24.78,18,0,5.04,2021-03-10 19:00:35
margate,GB,51.3813,1.3862,10.56,83,100,3.58,2021-03-10 19:00:35
zhigansk,RU,66.7697,123.3711,-23.78,90,100,2.4,2021-03-10 19:00:36
bethel,US,41.3712,-73.414,13.0,35,1,4.63,2021-03-10 19:00:36
veraval,IN,20.9,70.3667,23.05,83,0,4.93,2021-03-10 19:00:37
cayenne,GF,4.9333,-52.3333,30.0,66,75,6.69,2021-03-10 19:00:06
sao filipe,CV,14.8961,-24.4956,21.54,75,95,5.13,2021-03-10 19:00:37
elizabeth city,US,36.2946,-76.2511,22.78,30,1,4.12,2021-03-10 19:00:38
tongren,CN,27.7172,109.1853,9.04,87,100,0.53,2021-03-10 19:00:38
jaguarao,BR,-32.5661,-53.3758,25.26,53,15,3.61,2021-03-10 19:00:39
georgetown,GY,6.8045,-58.1553,31.0,74,75,5.14,2021-03-10 19:00:39
narrabri,AU,-30.3167,149.7833,20.0,77,40,2.57,2021-03-10 19:00:40
nalut,LY,31.8685,10.9812,10.67,82,75,11.34,2021-03-10 19:00:40
aksarayskiy,RU,46.7924,48.0119,-5.0,63,0,4.0,2021-03-10 19:00:41
hilo,US,19.7297,-155.09,22.0,83,90,2.06,2021-03-10 19:00:08
vaini,TO,-21.2,-175.2,23.0,83,20,2.57,2021-03-10 19:00:41
haines junction,CA,60.7522,-137.5108,-18.0,71,100,1.03,2021-03-10 19:00:42
bilibino,RU,68.0546,166.4372,-32.54,79,0,1.11,2021-03-10 19:00:42
khatanga,RU,71.9667,102.5,-28.31,85,100,10.62,2021-03-10 19:00:43
tiksi,RU,71.6872,128.8694,-30.29,84,89,7.41,2021-03-10 19:00:44
punta arenas,CL,-53.15,-70.9167,9.0,57,40,13.89,2021-03-10 19:00:44
kavieng,PG,-2.5744,150.7967,27.57,72,92,3.08,2021-03-10 19:00:45
butaritari,KI,3.0707,172.7902,27.19,78,89,5.48,2021-03-10 19:00:45
zyryanka,RU,65.75,150.85,-24.22,82,27,4.56,2021-03-10 19:00:46
cape town,ZA,-33.9258,18.4232,20.56,94,75,8.75,2021-03-10 18:58:37
codrington,AU,-38.2667,141.9667,10.79,92,100,2.82,2021-03-10 19:00:46
